episode,score,score_per_step,steps,success,final_distance,n_biases,carry_state,exploration_noise,loss,actor_loss,critic_loss,entropy,approx_kl,clip_frac,lr,best_eval_success,eval_score_mean,eval_score_std,eval_steps_mean,eval_success_rate,eval_final_distance_mean
18,194.81579711943698,2.319235679993297,84,1.0,0.16099822238160974,69,0.0,0.04172568807250437,546.3582822359525,-0.12243868926396737,1093.0482318584736,4.339320402878982,0.00613636695421659,0.0,0.0003,nan,,,,,
19,230.22424055615352,7.194507517379797,32,1.0,0.1646841388906938,28,0.0,0.04130843119177932,2233.133331298828,-0.0037421248853206635,4466.361083984375,4.343237280845642,0.006300985813140869,0.0,0.0003,nan,,,,,
20,224.74611113586832,5.7627207983555975,39,1.0,0.17817283110992768,26,0.0,0.04089534687986153,1851.1266645951705,-0.035061769526113166,3702.410311612216,4.3435869650407275,0.006809988228434866,0.0,0.0003,nan,,,,,
21,219.71184418301632,5.358825467878447,41,1.0,0.1926047622084473,36,0.0,0.040486393411062915,1165.600834773137,-0.006235333875967906,2331.3009221003604,4.337087704585149,0.0005918511977562538,0.009615384615384616,0.0003,nan,,,,,
22,199.53818208186095,2.525799773188113,79,1.0,0.17023258687387896,69,0.0,0.04008152947695229,1279.0625644259983,-0.04164426194296943,2558.294182671441,4.285615046819051,0.004013971632553471,0.041666666666666664,0.0003,nan,,,,,
23,220.96435278760512,4.910318950835669,45,1.0,0.11142824270039652,38,0.0,0.03968071418218277,852.861066545759,0.004904737429959434,1705.7974330357142,4.256348541804722,0.013527385690914733,0.0,0.0003,nan,,,,,
24,-61.06322065263645,-0.6106322065263645,100,0.0,4.694909230853377,86,0.0,0.03928390704036094,305.19113063812256,0.13759823609143496,610.1920833587646,4.251864671707153,0.007681157439947128,0.0,0.0003,nan,,,,,
25,190.23833927044615,2.1137593252271794,90,1.0,0.13577208049401893,72,0.0,0.038891067969957324,449.8969561258952,0.05831324805816015,899.7623307969835,4.251992596520318,-0.00018416676256391738,0.0,0.0003,nan,,,,,
26,216.29731588826579,4.081081431854072,53,1.0,0.10208400288272529,43,0.0,0.03850215729025775,653.1054138183594,0.12644090130925179,1306.0434692382812,4.274800586700439,0.004776686429977417,0.0,0.0003,nan,,,,,
27,206.1972297435683,3.380282454812595,61,1.0,0.184870856966359,47,0.0,0.03811713571735517,433.51381138392856,-0.03874789071934564,867.1900111607143,4.244288716997419,0.009377803121294295,0.0,0.0003,nan,,,,,
