time_ps,cv1_distance_A
4.319999694824218750e+00,3.320721387863159180e+00
4.360000133514404297e+00,3.336431741714477539e+00
4.400000095367431641e+00,3.335398435592651367e+00
4.440000057220458984e+00,3.328757524490356445e+00
4.480000019073486328e+00,3.321463823318481445e+00
4.519999980926513672e+00,3.269063472747802734e+00
4.559999942779541016e+00,3.306311368942260742e+00
4.599999904632568359e+00,3.272853374481201172e+00
4.639999866485595703e+00,3.329844713211059570e+00
4.679999828338623047e+00,3.364914655685424805e+00
4.719999790191650391e+00,3.258871555328369141e+00
4.759999752044677734e+00,3.264438629150390625e+00
4.799999713897705078e+00,3.349857091903686523e+00
4.839999675750732422e+00,3.321048259735107422e+00
4.880000114440917969e+00,3.396791219711303711e+00
4.920000076293945312e+00,3.324315547943115234e+00
4.960000038146972656e+00,3.362178802490234375e+00
5.000000000000000000e+00,3.338950395584106445e+00
5.039999961853027344e+00,3.304885387420654297e+00
5.079999923706054688e+00,3.346189737319946289e+00
5.119999885559082031e+00,3.307135820388793945e+00
5.159999847412109375e+00,3.149728775024414062e+00
5.199999809265136719e+00,3.348570823669433594e+00
5.239999771118164062e+00,3.301294326782226562e+00
5.279999732971191406e+00,3.348687648773193359e+00
5.319999694824218750e+00,3.227977514266967773e+00
5.359999656677246094e+00,3.361889839172363281e+00
5.400000095367431641e+00,3.272543430328369141e+00
5.440000057220458984e+00,3.300899267196655273e+00
5.480000019073486328e+00,3.473687887191772461e+00
5.519999980926513672e+00,3.253995180130004883e+00
5.559999942779541016e+00,3.429976463317871094e+00
5.599999904632568359e+00,3.291620016098022461e+00
5.639999866485595703e+00,3.240208625793457031e+00
5.679999828338623047e+00,3.284029722213745117e+00
5.719999790191650391e+00,3.328721046447753906e+00
5.759999752044677734e+00,3.208099842071533203e+00
5.799999713897705078e+00,3.383172035217285156e+00
5.839999675750732422e+00,3.268744945526123047e+00
5.879999637603759766e+00,3.280617952346801758e+00
5.920000076293945312e+00,3.349207162857055664e+00
5.960000038146972656e+00,3.312872409820556641e+00
6.000000000000000000e+00,3.343394517898559570e+00
6.039999961853027344e+00,3.297476530075073242e+00
6.079999923706054688e+00,3.331149578094482422e+00
6.119999885559082031e+00,3.245109081268310547e+00
6.159999847412109375e+00,3.309134960174560547e+00
6.199999809265136719e+00,3.266990184783935547e+00
6.239999771118164062e+00,3.148695945739746094e+00
6.279999732971191406e+00,3.292558908462524414e+00
6.319999694824218750e+00,3.357876062393188477e+00
6.359999656677246094e+00,3.330979585647583008e+00
6.399999618530273438e+00,3.278146743774414062e+00
6.440000057220458984e+00,3.262753963470458984e+00
6.480000019073486328e+00,3.334775447845458984e+00
6.519999980926513672e+00,3.257735252380371094e+00
6.559999942779541016e+00,3.305111408233642578e+00
6.599999904632568359e+00,3.364639997482299805e+00
6.639999866485595703e+00,3.298122644424438477e+00
6.679999828338623047e+00,3.369747877120971680e+00
6.719999790191650391e+00,3.286586999893188477e+00
6.759999752044677734e+00,3.190067768096923828e+00
6.799999713897705078e+00,3.343844890594482422e+00
6.839999675750732422e+00,3.329860687255859375e+00
6.879999637603759766e+00,3.258367061614990234e+00
6.920000076293945312e+00,3.404372930526733398e+00
6.960000038146972656e+00,3.324130535125732422e+00
7.000000000000000000e+00,3.252171039581298828e+00
7.039999961853027344e+00,3.278735399246215820e+00
