episode,score,steps,success,final_distance,n_biases,loss,actor_loss,critic_loss,entropy,approx_kl,clip_frac,lr,eval_score_mean,eval_success_rate,eval_final_distance_mean
48,-15.736859747568268,40,0.0,3.8479065532856436,34,9.480576356252035,0.02293728871477975,18.998026000128853,4.137388229370117,-0.003724023699760437,0.0,0.0003,,,
49,-15.729026792683554,40,0.0,3.792643057657817,34,8.117792987823487,-0.002031270042061806,16.321376037597656,4.086369609832763,0.01335701197385788,0.01875,0.0003,,,
50,-10.279079782470781,40,0.0,3.09120617136413,34,4.810545245806376,-0.09431839548051357,9.893310281965467,4.179150740305583,0.000779163506295946,0.06597222222222222,0.0003,,,
51,-14.092545612665923,40,0.0,3.529154187004536,25,1.9588891532686021,-0.048417297191917896,4.099074204762776,4.223067628012763,-0.01719131155146493,0.034722222222222224,0.0003,,,
52,19.22959981051405,40,0.0,0.4230214966681868,31,19.064779387580025,-0.010463259286350675,38.22942924499512,3.9472141795688205,0.011202540662553575,0.0,0.0003,,,
53,-37.720841449833266,40,0.0,5.815736961948277,34,4.766935070355733,-0.03369470375279585,9.68367326259613,4.1206880410512285,0.011322960257530212,0.026041666666666668,0.0003,,,
54,-34.14671630260612,40,0.0,5.276711120304399,35,6.384393150156194,-0.0415762486782941,12.93577148697593,4.1916257251392715,0.004701075228777799,0.005681818181818182,0.0003,,,
55,-20.69481160349158,40,0.0,4.028611352466929,35,2.2696346243222556,-0.07568052297251092,4.771910448869069,4.064008606804742,-0.03399158517519633,0.1076388888888889,0.0003,,,
56,220.8326768538163,39,1.0,0.11698877839192123,34,7367.745930989583,-0.018786718034081988,14735.60986328125,4.0347811513476906,-0.010428286467989286,0.04365079436037275,0.0003,,,
57,-21.82731123942626,40,0.0,4.512935671582773,32,4.378765293530056,-0.010572033801249095,8.861641917909894,4.148368052073887,0.008930864078657967,0.07142857142857142,0.0003,,,
58,-25.880589636595367,40,0.0,4.688550324240802,35,17.96396541595459,0.01708305478096008,35.969354248046876,3.7794737815856934,0.011694809794425965,0.0,0.0003,,,
59,-8.626799385919902,40,0.0,3.180397491999711,32,5.520844327078925,-0.06957241230540806,11.262795607248941,4.098107549879286,-0.01605895244412952,0.07291666666666667,0.0003,,,
60,-11.144004088815578,40,0.0,3.139022281573104,34,5.254769478525434,-0.05033455057335751,10.689809390476771,3.9800688198634555,-0.012599108474595206,0.04017857142857143,0.0003,81.82394186158885,0.125,2.7243083922709994
61,-20.2368436562706,40,0.0,4.1999138342657085,38,5.742973592546251,-0.06464567159612973,11.692627006106907,3.869412104288737,0.00409402781062656,0.027777777777777776,0.0003,,,
62,-5.448501451097208,40,0.0,2.569137121979515,37,5.129722628328535,-0.09698179426292579,10.52765613132053,3.712364580896166,-0.02438558389743169,0.14583333333333334,0.0003,,,
63,-25.31236676697123,40,0.0,4.533427589487858,36,5.021716888134296,-0.04209004213603643,10.20244836807251,3.741726270088783,0.0036868785436336812,0.07211538461538461,0.0003,,,
64,225.7764596249808,37,1.0,0.1266870591634203,32,7610.209089006697,0.09963087631123406,15220.296456473214,3.893083299909319,0.0012877702912581818,0.0,0.0003,,,
65,2.7342977320592308,40,0.0,2.1427829266480782,37,6.976029449039036,-0.005496629410319858,14.042249149746365,3.959877120123969,0.011025827791955736,0.0,0.0003,,,
66,-40.79211557675367,40,0.0,5.705310348263084,35,4.881639468669891,0.006690965220332146,9.83055636882782,4.032963252067566,0.0036781251430511473,0.0125,0.0003,,,
67,-4.302780059166672,40,0.0,2.499292784463938,38,5.705059438943863,0.01255826884880662,11.462951958179474,3.897465467453003,0.01407678797841072,0.015625,0.0003,,,
68,-9.513456800615216,40,0.0,3.1585417606553885,33,5.696532646814982,0.000310449136628045,11.4659809006585,3.676829364564684,0.0002405246098836263,0.020833333333333332,0.0003,,,
69,-30.3649109644086,40,0.0,4.892080766896621,38,17.193678975105286,-0.012769446708261967,34.48636174201965,3.673282951116562,0.009543972089886665,0.0078125,0.0003,,,
70,-20.213337135689216,40,0.0,3.9610185902847426,34,4.5571947362687855,0.027647718373272154,9.13315052456326,3.7028197712368436,0.005716588762071397,0.0,0.0003,,,
71,-10.86122430620301,40,0.0,3.277555816725832,37,4.180521670509787,-0.08961619217606152,8.611770587808946,3.5747444489422966,-0.010748798356336705,0.10661764705882353,0.0003,,,
72,-16.60766623037157,40,0.0,3.5350035735143734,37,6.370560854673386,-0.05033245263621211,12.91498726606369,3.6600301861763,0.0017985161393880844,0.015625,0.0003,,,
73,-19.453852525486866,40,0.0,3.8618000129102,36,3.51409753631143,-0.00549945848829606,7.112035162308636,3.6420648518730614,-0.004698396605603835,0.10294117647058823,0.0003,,,
74,231.3006509977812,27,1.0,0.02311843864437354,25,12276.406494140625,-0.015512975864112377,24552.9146484375,3.5275759220123293,0.01640380478929728,0.00625,0.0003,,,
75,-17.93495274681731,40,0.0,3.9336008524436856,32,3.8441795984903973,-0.021452664211392403,7.8018310546875,3.5283191839853925,-0.021728540460268658,0.15833333333333333,0.0003,,,
76,-32.97986563763992,40,0.0,5.237659553194285,36,20.62437686920166,-0.003760667145252228,41.31709175109863,3.0408523082733154,0.02253861129283905,0.0,0.0003,,,
77,233.769376429431,19,1.0,0.14379568510418528,18,13886.877278645834,0.2636757579942544,27773.301595052082,3.6516753832499185,0.008756238035857677,0.0,0.0003,,,
78,227.19834993183582,34,1.0,0.193073236618263,31,9865.596240234376,-0.07149509564042092,19731.40187174479,3.32751571337382,-0.001120986541112264,0.15,0.0003,,,
79,230.72285236006226,28,1.0,0.08211018413931968,24,11263.314086914062,-0.039273771767814956,22526.772867838543,3.3221522768338523,0.009163834576611407,0.01215277798473835,0.0003,,,
80,4.744720485197792,40,0.0,1.9001885570452146,32,2.0234874188899994,-0.04277537763118744,4.205537140369415,3.6505743265151978,-0.00032835640013217926,0.015625,0.0003,170.98316299921066,0.5,1.9143695633922324
81,-0.7576413308576964,40,0.0,2.29887551741569,36,2.4863268891970316,-0.042576169967651366,5.119220900535583,3.070741542180379,-0.019540034731229148,0.075,0.0003,,,
82,-13.243365981157766,40,0.0,2.997032609383834,37,7.556485732396443,-0.04806499928236008,15.279497305552164,3.5197996934254965,0.008586277564366659,0.025,0.0003,,,
83,1.4586765537982451,40,0.0,1.9339733562903487,34,5.227203893661499,-0.031168116629123686,10.582542324066162,3.289915084838867,0.017727646231651305,0.0,0.0003,,,
84,-43.24690639530233,40,0.0,6.317761584888445,31,1.872093066573143,-0.08706269164880116,3.9952160020669303,3.8452242612838745,0.008449907104174295,0.0,0.0003,,,
85,222.15187792716895,36,1.0,0.19640667398741263,30,8959.458946814904,-0.06199321380028358,17919.112079326922,3.5166193705338697,-0.004535942123486445,0.057692307692307696,0.0003,,,
86,9.771712899576178,40,0.0,1.353133494860854,33,17.103214104970295,0.0011437398691972096,34.27118396759033,3.352164069811503,0.0015197160343329112,0.0625,0.0003,,,
87,-31.258928943298816,40,0.0,5.249903277935849,37,3.8069134851296744,-0.04487465259929498,7.763012409210205,2.9718039631843567,-0.00486036017537117,0.041666666666666664,0.0003,,,
88,227.71442858503167,38,1.0,0.07895558693335274,32,8315.529317220053,0.022043690085411072,16631.072835286457,2.908244788646698,0.009812836612885198,0.07465277860562007,0.0003,,,
89,-3.4688040218899516,40,0.0,2.5533974225428886,39,10.1548792441686,-0.06594224621852239,20.51016863187154,3.4263046741485597,0.0023087998231252032,0.020833333333333332,0.0003,,,
90,-24.486849851068268,40,0.0,4.615834814312464,36,7.327781180540721,0.004723307987054189,14.70461094379425,2.9247689843177795,0.004738464951515198,0.07291666666666667,0.0003,,,
91,-28.71114450356072,40,0.0,5.168329705914776,38,6.507288122177124,0.0031175637617707253,13.061570358276366,2.661457085609436,0.006044073402881623,0.04375,0.0003,,,
92,-27.676372457221156,40,0.0,4.715069736994948,36,3.4770534369680615,0.017006236645910475,6.977114942338732,2.851014428668552,0.00547448131773207,0.0,0.0003,,,
93,-15.014616683318412,40,0.0,3.580613457869101,38,18.649175863999588,-0.02233511610673024,37.403302045968864,3.0140131620260386,0.012745108741980333,0.02403846153846154,0.0003,,,
94,-35.67664887884793,40,0.0,5.671496480533251,35,12.532916088898977,0.003563201054930687,25.121822834014893,3.1558616161346436,0.002115736405054728,0.026041666666666668,0.0003,,,
95,-14.364730232214754,40,0.0,3.685061204047664,38,13.222419023513794,-0.0061819348484277725,26.51342463493347,2.8111301362514496,0.00012487731873989105,0.03125,0.0003,,,
96,-31.48642496858818,40,0.0,5.119522735474833,38,11.686399841308594,-0.0010631889104843139,23.424702835083007,2.4888121604919435,0.005765867233276367,0.0,0.0003,,,
97,-19.758194266649895,40,0.0,3.7158539977577156,33,11.771800994873047,0.023490260044733684,23.54971694946289,2.6547795136769614,0.008877615133921305,0.0,0.0003,,,
98,-32.07174781646017,40,0.0,5.110414820917031,34,13.37965922885471,-0.014447328531079821,26.83512242635091,2.345457156499227,0.006626654002401564,0.0,0.0003,,,
99,-43.89906034455039,40,0.0,6.234346956980559,38,36.25866953531901,-0.019947338435384963,72.60735109117296,2.505907482571072,-0.0016485204299290974,0.034722222222222224,0.0003,,,
100,-14.404575109231187,40,0.0,3.5232514841091014,38,13.063711094359556,-0.029349084322651226,26.23210761944453,2.2993804613749185,0.0207859401901563,0.03125,0.000285,201.94875107239204,0.625,1.167063155229129
