cv2_distance_A,bias_kcal_per_mol
7.751710362514388386e+00,1.523072271132808631e+01
7.787732626833539840e+00,1.496414217986907147e+01
7.823754891152692181e+00,1.469769565351589158e+01
7.859777155471843635e+00,1.443161694466019718e+01
7.895799419790995977e+00,1.416612119687836646e+01
7.931821684110147430e+00,1.390140567738198030e+01
7.967843948429299772e+00,1.363765065037274127e+01
8.003866212748452114e+00,1.337502031448596362e+01
8.039888477067602679e+00,1.311366378885011841e+01
8.075910741386755021e+00,1.285371613347291841e+01
8.111933005705907362e+00,1.259529939074222327e+01
8.147955270025057928e+00,1.233852363584235334e+01
8.183977534344212046e+00,1.208348802486314355e+01
8.219999798663362611e+00,1.183028183033767355e+01
8.256022062982514953e+00,1.157898545489568320e+01
8.292044327301667295e+00,1.132967141467106487e+01
8.328066591620817860e+00,1.108240528504964217e+01
8.364088855939971978e+00,1.083724660229018433e+01
8.400111120259122544e+00,1.059424971548923011e+01
8.436133384578274885e+00,1.035346458428404581e+01
8.472155648897427227e+00,1.011493751859272017e+01
8.508177913216577792e+00,9.878711857566349508e+00
8.544200177535730134e+00,9.644828585771797691e+00
8.580222441854882476e+00,9.413326885426702262e+00
8.616244706174033041e+00,9.184244624265696544e+00
8.652266970493187159e+00,8.957618779324125313e+00
8.688289234812337725e+00,8.733485797578490306e+00
8.724311499131490066e+00,8.511881894976800922e+00
8.760333763450642408e+00,8.292843295927864844e+00
8.796356027769792973e+00,8.076406415790447824e+00
8.832378292088945315e+00,7.862607989314518875e+00
8.868400556408097657e+00,7.651485148334960407e+00
8.904422820727248222e+00,7.443075452304672268e+00
8.940445085046402340e+00,7.237416875481105016e+00
8.976467349365552906e+00,7.034547754749121751e+00
9.012489613684705247e+00,6.834506702176022408e+00
9.048511878003857589e+00,6.637332486456672953e+00
9.084534142323008155e+00,6.443063887418014168e+00
9.120556406642162273e+00,6.251739527719887946e+00
9.156578670961312838e+00,6.063397685815045790e+00
9.192600935280465180e+00,5.878076094119328410e+00
9.228623199599617521e+00,5.695811726199869085e+00
9.264645463918768087e+00,5.516640576615403191e+00
9.300667728237920429e+00,5.340597436846080903e+00
9.336689992557072770e+00,5.167715670532562200e+00
9.372712256876223336e+00,4.998026991010039666e+00
9.408734521195377454e+00,4.831561243876872247e+00
9.444756785514528019e+00,4.668346197082546389e+00
9.480779049833680361e+00,4.508407340758950888e+00
9.516801314152832703e+00,4.351767698757349478e+00
9.552823578471983268e+00,4.198447653591245832e+00
9.588845842791135610e+00,4.048464786227884638e+00
9.624868107110287951e+00,3.901833731919138071e+00
9.660890371429438517e+00,3.758566053018489228e+00
9.696912635748592635e+00,3.618670129497093768e+00
9.732934900067743200e+00,3.482151067649516207e+00
9.768957164386895542e+00,3.349010627269706664e+00
9.804979428706047884e+00,3.219247167382528918e+00
9.841001693025198449e+00,3.092855610434341429e+00
9.877023957344352567e+00,2.969827424680374861e+00
9.913046221663503133e+00,2.850150624356111440e+00
9.949068485982655474e+00,2.733809787084586329e+00
9.985090750301807816e+00,2.620786087852788437e+00
1.002111301462095838e+01,2.511057348785924681e+00
1.005713527894011072e+01,2.404598103859846958e+00
1.009315754325926306e+01,2.301379677617757302e+00
1.012917980757841363e+01,2.201370276897023803e+00
1.016520207189756775e+01,2.104535094525446404e+00
1.020122433621671831e+01,2.010836423912251814e+00
1.023724660053587066e+01,1.920233783436739339e+00
1.027326886485502300e+01,1.832684049526805081e+00
1.030929112917417356e+01,1.748141597318258578e+00
1.034531339349332590e+01,1.666558447794507902e+00
1.038133565781247825e+01,1.587884420323003143e+00
1.041735792213162881e+01,1.512067289529077652e+00
1.045338018645078293e+01,1.439052945479030843e+00
1.048940245076993349e+01,1.368785556181185692e+00
1.052542471508908584e+01,1.301207731455390704e+00
1.056144697940823818e+01,1.236260687267867198e+00
1.059746924372738874e+01,1.173884409677603768e+00
1.063349150804654286e+01,1.114017817593066839e+00
1.066951377236569343e+01,1.056598923592448669e+00
1.070553603668484577e+01,1.001564992116443120e+00
1.074155830100399811e+01,9.488526943996851148e-01
1.077758056532314868e+01,8.983982595638908553e-01
1.081360282964230102e+01,8.501376213530478232e-01
1.084962509396145336e+01,8.040065600475292396e-01
1.088564735828060392e+01,7.599408391495542370e-01
1.092166962259975804e+01,7.178763364868819830e-01
1.095769188691890861e+01,6.777491694343793505e-01
1.099371415123805917e+01,6.394958140039712635e-01
1.102973641555721329e+01,6.030532176025193980e-01
1.106575867987636386e+01,5.683589053037090277e-01
1.110178094419551798e+01,5.353510795242856224e-01
1.113780320851466854e+01,5.039687130368732948e-01
1.117382547283381911e+01,4.741516352905654763e-01
1.120984773715297322e+01,4.458406120471851142e-01
1.124587000147212379e+01,4.189774183748258829e-01
1.128189226579127435e+01,3.935049050714221619e-01
1.131791453011042847e+01,3.693670586196229344e-01
1.135393679442957904e+01,3.465090547999560844e-01
1.138995905874873316e+01,3.248773061124602957e-01
1.142598132306788372e+01,3.044195031776678606e-01
1.146200358738703429e+01,2.850846503058478421e-01
1.149802585170618840e+01,2.668230954393095988e-01
1.153404811602533897e+01,2.495865546859303286e-01
1.157007038034449309e+01,2.333281316733409050e-01
1.160609264466364365e+01,2.180023319624281863e-01
1.164211490898279422e+01,2.035650727658809833e-01
1.167813717330194834e+01,1.899736882229201285e-01
1.171415943762109890e+01,1.771869304848432969e-01
1.175018170194024947e+01,1.651649668679453786e-01
1.178620396625940359e+01,1.538693733308273692e-01
1.182222623057855415e+01,1.432631245320751812e-01
1.185824849489770827e+01,1.333105807220381633e-01
